property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,Status,Reason Unable to Fix/Notes
A018163,BN0013131,000B86812383,10.151.137.42,slo-rw113-l101-1,5,L101,Lobby,Sierra Madre,W,Couldn't Fix,Upstream device not in Airwaves
A018164,BN0013081,000B86812289,10.151.137.43,slo-rw113-l101-2,2.4,L101,Lobby,Sierra Madre,X,Couldn't Fix,Upstream device not in Airwaves
A018165,BN0017422,000B86817752,10.151.137.44,slo-rw113-l102-1,2.4,L102,Lobby,Sierra Madre,W,Couldn't Fix,Upstream device not in Airwaves
A018166,BN0013132,000B86812388,10.151.137.45,slo-rw113-l203-1,5,L203,Lobby,Sierra Madre,W,Couldn't Fix,Upstream device not in Airwaves
A019062,BN0013597,000B86812C9D,10.151.137.48,slo-rw113-001p-1,2.4,1P,Tower 0,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019084,BN0013672,000B86812E14,10.151.138.44,slo-rw113-011p-1,2.4,1P,Tower 1,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019095,BN0014545,000B86813F21,10.151.139.44,slo-rw113-021p-1,2.4,1P,Tower 2,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019106,BN0013566,000B86812C02,10.151.140.44,slo-rw113-031p-1,2.4,1P,Tower 3,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A018826,BN0013726,000B86812F22,10.151.141.44,slo-rw113-041p-1,2.4,1P,Tower 4,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019011,BN0013555,000B86812BCB,10.151.142.43,slo-rw113-051p-1,2.4,1P,Tower 5,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019142,BN0047643,000B869D44EB,10.151.143.32,slo-rw114-001lr-1,5,1LR,Tower 0,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019159,BN0047404,000B869D4040,10.151.145.32,slo-rw114-021lr-1,5,1LR,Tower 2,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019176,BN0047817,000B869D4851,10.151.147.32,slo-rw114-041lr-1,5,1LR,Tower 4,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019184,BN0047776,000B869D4784,10.151.148.32,slo-rw114-051lr-1,5,1LR,Tower 5,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019201,BN0047551,000B869D431F,10.151.150.31,slo-rw114-071lr-1,2.4,1LR,Tower 7,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019219,BN0047597,000B869D4405,10.151.152.31,slo-rw114-091lr-1,2.4,1LR,Tower 9,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019220,BN0047516,000B869D4270,10.151.143.33,slo-rw114-l101-1,2.4,L101,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019221,BN0047604,000B869D4428,10.151.143.34,slo-rw114-l101-2,5,L101,Lobby,Yosemite,X,Couldn't Fix,Upstream device not in Airwaves
A019222,BN0047599,000B869D440F,10.151.143.35,slo-rw114-l102-1,2.4,L102,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019414,BN0047753,000B869D4711,10.151.143.36,slo-rw114-0l201-1,5,L201,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019415,BN0047748,000B869D46F8,10.151.143.37,slo-rw114-0l201-2,2.4,L201,Lobby,Yosemite,X,Couldn't Fix,Upstream device not in Airwaves
