property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,,
A016016,BN0012255,000B86811267,10.151.183.1,slo-rw171i-i001-lr,2.4,I001,Inyo,Poly Canyon Village,W,,
A016017,BN0012104,000B86810F74,10.151.183.2,slo-rw171i-i101-b,5,I101-B,Inyo,Poly Canyon Village,W,,
A016018,BN0012302,000B86811352,10.151.183.3,slo-rw171i-i101-c,2.4,I101-C,Inyo,Poly Canyon Village,W,,
A016019,BN0012303,000B86811357,10.151.183.4,slo-rw171i-i102-l,5,I102-L,Inyo,Poly Canyon Village,W,,
A016020,BN0012144,000B8681103C,10.151.183.5,slo-rw171i-i102-b,2.4,I102-B,Inyo,Poly Canyon Village,W,,
A016021,BN0012295,000B8681132F,10.151.183.6,slo-rw171i-102-am,AM,I102-D,Inyo,Poly Canyon Village,W,,
A016022,BN0012307,000B8681136B,10.151.183.7,slo-rw171i-i103-l,5,I103-L,Inyo,Poly Canyon Village,W,,
A016023,BN0012216,000B868111A4,10.151.183.8,slo-rw171i-i103-am,AM,I103-A,Inyo,Poly Canyon Village,W,,
A016024,BN0012310,000B8681137A,10.151.183.9,slo-rw171i-i103-c,2.4,I103-C,Inyo,Poly Canyon Village,W,,
A016025,BN0012315,000B86811393,10.151.183.10,slo-rw171i-i104-l,5,I104-L,Inyo,Poly Canyon Village,W,,
A016026,BN0012342,000B8681141A,10.151.183.11,slo-rw171i-i104-c,2.4,I104-C,Inyo,Poly Canyon Village,W,,
A016027,BN0012371,000B868114AB,10.151.183.12,slo-rw171i-i105-l,5,I105-L,Inyo,Poly Canyon Village,W,,
A016028,BN0012372,000B868114B0,10.151.183.13,slo-rw171i-i105-b,2.4,I105-B,Inyo,Poly Canyon Village,W,,
A016029,BN0012334,000B868113F2,10.151.183.14,slo-rw171i-i106-l,5,I106-L,Inyo,Poly Canyon Village,W,,
A016030,BN0012374,000B868114BA,10.151.183.15,slo-rw171i-i106-b,2.4,I106-B,Inyo,Poly Canyon Village,W,,
A016031,BN0012254,000B86811262,10.151.183.16,slo-rw171i-i107-l,5,I107-L,Inyo,Poly Canyon Village,W,,
A016032,BN0012276,000B868112D0,10.151.183.17,slo-rw171i-i107-b,2.4,I107-B,Inyo,Poly Canyon Village,W,,
A016033,BN0012336,000B868113FC,10.151.183.18,slo-rw171i-i107-am,AM,I107-D,Inyo,Poly Canyon Village,W,,
A016034,BN0012343,000B8681141F,10.151.183.19,slo-rw171i-i108-l,5,I108-L,Inyo,Poly Canyon Village,W,,
A016035,BN0012270,000B868112B2,10.151.183.20,slo-rw171i-i108-c,2.4,I108-C,Inyo,Poly Canyon Village,W,,
A016036,BN0012579,000B868118BB,10.151.183.21,slo-rw171i-i109-b,2.4,I109-B,Inyo,Poly Canyon Village,W,,
A016037,BN0012596,000B86811910,10.151.183.22,slo-rw171i-i109-c,5,I109-C,Inyo,Poly Canyon Village,W,,
A016038,BN0012594,000B86811906,10.151.184.45,slo-rw171i-i201-b,5,I201-B,Inyo,Poly Canyon Village,W,,
A016039,BN0012570,000B8681188E,10.151.184.46,slo-rw171i-i201-c,2.4,I201-C,Inyo,Poly Canyon Village,W,,
A016040,BN0012578,000B868118B6,10.151.184.47,slo-rw171i-i202-l,5,I202-L,Inyo,Poly Canyon Village,W,,
A016041,BN0012574,000B868118A2,10.151.184.48,slo-rw171i-i202-b,2.4,I202-B,Inyo,Poly Canyon Village,W,,
A016042,BN0012592,000B868118FC,10.151.184.49,slo-rw171i-i202-am,AM,I202-D,Inyo,Poly Canyon Village,W,,
A016043,BN0012562,000B86811866,10.151.184.50,slo-rw171i-i203-l,5,I203-L,Inyo,Poly Canyon Village,W,,
A016044,BN0012569,000B86811889,10.151.184.51,slo-rw171i-i203-am,AM,I203-A,Inyo,Poly Canyon Village,W,,
A016045,BN0012583,000B868118CF,10.151.184.52,slo-rw171i-i203-c,2.4,I203-C,Inyo,Poly Canyon Village,W,,
A016046,BN0012281,000B868112E9,10.151.184.53,slo-rw171i-i204-l,5,I204-L,Inyo,Poly Canyon Village,W,,
A016047,BN0012282,000B868112EE,10.151.184.54,slo-rw171i-i204-c,2.4,I204-C,Inyo,Poly Canyon Village,W,,
A016048,BN0012290,000B86811316,10.151.184.55,slo-rw171i-i205-l,5,I205-L,Inyo,Poly Canyon Village,W,,
A016049,BN0012273,000B868112C1,10.151.184.56,slo-rw171i-i205-b,2.4,I205-B,Inyo,Poly Canyon Village,W,,
A016050,BN0012280,000B868112E4,10.151.184.57,slo-rw171i-i206-l,5,I206-L,Inyo,Poly Canyon Village,W,,
A016051,BN0012286,000B86811302,10.151.184.58,slo-rw171i-i206-b,2.4,I206-B,Inyo,Poly Canyon Village,W,,
A016052,BN0012288,000B8681130C,10.151.184.59,slo-rw171i-i207-l,5,I207-L,Inyo,Poly Canyon Village,W,,
A016053,BN0012292,000B86811320,10.151.184.60,slo-rw171i-i207-b,2.4,I207-B,Inyo,Poly Canyon Village,W,,
A016054,BN0012297,000B86811339,10.151.184.61,slo-rw171i-i207-am,AM,I207-D,Inyo,Poly Canyon Village,W,,
A016055,BN0012293,000B86811325,10.151.184.62,slo-rw171i-i208-l,5,I208-L,Inyo,Poly Canyon Village,W,,
